Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,76390,25,90595,21.08,37672,19,41736,17.15,,,,
2003,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,57483,33,79871,23.75,22645,31,33428,21.00,,,,
2004,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,80732,30,94979,25.50,39846,18,45538,15.75,,,,
2004,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,59716,34,82034,24.75,26571,31,39224,21.00,,,,
2005,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,62982,29,83592,21.85,30728,23,39242,18.01,,,,
2005,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,74363,35,96396,27.00,32344,31,43594,23.00,,,,
2006,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,73071,24,89934,19.50,34566,20,38407,18.00,,,,
2006,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,86007,35,109463,27.50,34956,31,46112,23.50,,,,
2007,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,108983,26,125936,22.50,41130,21,49356,17.50,,,,
2007,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,91597,34,113247,27.50,41261,30,52674,23.50,,,,
2008,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,118383,25,123316,24.00,46752,21,50348,19.50,,,,
2008,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,95893,35,122046,27.50,42385,31,55912,23.50,,,,
2009,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,124554,28,136765,25.50,50029,21,56790,18.50,,,,
2009,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,97765,35,124428,27.50,44713,31,58983,23.50,,,,
2010,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,114176,28,118405,27.00,52622,21,55253,20.00,,,,
2010,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,107085,35,136290,27.50,45035,31,59408,23.50,,,,
2011,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,110240,28,125989,24.50,52399,22,62312,18.50,,,,
2011,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,109105,33,132712,27.13,50852,29,63757,23.13,,,,
2012,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,120672,30,139237,26.00,51542,23,65859,18.00,,,,
2012,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,108581,33,130868,27.38,55715,29,69108,23.38,,,,
2013,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,174863,31,200769,27.00,55586,24,66703,20.00,,,,
2013,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,122265,33,147361,27.38,54547,29,67659,23.38,,,,
2014,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,148000,31,173132,26.50,53289,24,65586,19.50,,,,
2014,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,139730,33,168411,27.38,55135,29,68388,23.38,,,,
2015,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,192611,31,225319,27.00,75357,24,92747,20.00,,,,
2015,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,152306,33,183568,27.00,61624,29,76437,23.00,,,,
2016,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,142701,31,160863,27.50,56792,23,62201,21.00,,,,
2016,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,160054,33,192907,27.38,62663,29,77726,23.38,,,,
2017,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,206734,34,265244,26.50,73257,28,89182,23.00,,,,
2017,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,173593,34,210792,28.00,69917,32,86052,26.00,,,,
2018,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,158528,31,178704,27.50,62160,26,73462,22.00,,,,
2018,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,205836,35,248423,29.00,73694,32,90700,26.00,,,,
2019,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,160429,33,192515,27.50,63455,29,78306,23.50,,,,
2019,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,196803,35,237521,29.00,59175,32,72831,26.00,,,,
2020,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,146318,35,167906,30.50,67298,30,80758,25.00,,,,
2020,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,254757,33,305708,27.50,63476,29,78332,23.50,,,,
2021,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,200453,36,244621,29.50,70492,31,89194,24.50,,,,
2021,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,282145,35,340520,29.00,81224,32,99968,26.00,,,,
